EmployeeID,JobInvolvement,PerformanceRating,Age,DistanceFromHome,Education,EmployeeCount,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageWorkingHours,SeniorityRatio,PromotionGap,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
1,0.37967212888114743,-0.42623001504290287,1.5413689168784945,-0.3939381836990763,-0.8916882501868245,0.0,-0.9614863916702531,1.4051359227861628,-0.67846359583741,-1.1505541015749308,0.0,-0.9320143892374165,-1.322078986518628,2.483395993813116,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0.25220049272708844,1.1563022799500973,-1.0853364387843123,-0.2556337139484288,0.9766485492708736,-0.6791456840737199,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,-1.0261667362455191,2.346151056253851,-0.6486681098094882,0.09963874367159682,-1.8684257522543597,0.0,-0.9614863916702531,-0.49166100123768053,-1.0794855041128393,2.1293060069870897,0.0,0.24198831185855807,-0.6788770437360288,0.15570708143992978,-0.32789331844000197,-0.3687152874355457,-0.0345197463373974,0.25220049272708844,-0.663898703301707,1.7577486191538032,0.010105599010815964,0.47061003125181333,-0.3687152874355457,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
3,0.37967212888114743,-0.42623001504290287,-0.5391662584750891,0.9633983665702748,1.0617867539482457,0.0,1.7496101475022634,2.7250533073538916,-0.67846359583741,-0.057267398720923963,0.0,2.5899937140505074,-0.8075174322925486,-0.6201892226844656,-0.32789331844000197,-0.6791456840737199,-0.3148734873096303,-0.6654597159581094,-0.663898703301707,-2.5068789677533703,-0.5073647827496895,0.9766485492708736,-0.6791456840737199,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
4,-1.0261667362455191,-0.42623001504290287,0.11784484953130571,-0.8875151110697495,2.038524256015781,0.0,0.8459113011114247,0.3863007877246271,0.12358022071344858,-1.1505541015749308,0.0,2.5899937140505074,0.2216056761596102,1.7074996896887207,0.16194730971731802,1.4938670923934996,0.24583399463483546,1.1698607014122862,1.1563022799500973,0.3362060901847455,-0.37109565788267135,-0.19113264615772718,1.4938670923934996,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
5,0.37967212888114743,-0.42623001504290287,-0.5391662584750891,0.09963874367159682,-1.8684257522543597,0.0,-0.9614863916702531,-0.8841090709892251,0.5246021289888778,-0.8772324258614291,0.0,1.4159910129545328,-0.29295587806646917,-0.6201892226844656,-0.16461310905422863,-0.6791456840737199,-0.0345197463373974,1.1698607014122862,-1.573999194927609,0.3362060901847455,0.2563809992363971,-0.03542848676724727,-0.6791456840737199,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
6,0.37967212888114743,-0.42623001504290287,0.9938596602064987,-0.14714972001373974,0.08504925188071055,0.0,1.7496101475022634,-0.5167334821422188,0.12358022071344858,-0.6039107501479274,0.0,-0.9320143892374165,2.151211504507408,1.7074996896887207,-0.0013328996684553085,1.4938670923934996,0.8065414765793012,0.25220049272708844,-0.663898703301707,-1.0853364387843123,2.2924321645336763,-1.3005247818148982,1.4938670923934996,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
7,0.37967212888114743,2.346151056253851,-0.9771736638126857,0.2230329755142651,-0.8916882501868245,0.0,-0.05778754527941421,-0.1465956708226787,-0.2774416875619807,1.3093409798465847,0.0,0.24198831185855807,-0.8075174322925486,-0.6201892226844656,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,-1.5831199246433072,0.24620178832419518,-2.5068789677533703,-0.5964186824898792,-2.0595825588434886,-0.6791456840737199,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
8,0.37967212888114743,2.346151056253851,-0.8676718124782865,1.0867925984129432,0.08504925188071055,0.0,-0.05778754527941421,-0.7139136709507913,-0.2774416875619807,1.855984331273588,0.0,2.5899937140505074,-0.16431548950994934,-0.6201892226844656,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,-1.5831199246433072,-0.663898703301707,0.3362060901847455,-0.7281563420793763,-2.0595825588434886,-0.6791456840737199,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
9,0.37967212888114743,2.346151056253851,-0.6486681098094882,-1.0109093429124179,0.08504925188071055,0.0,0.8459113011114247,-0.947427709205771,-1.0794855041128393,1.5826626555600865,0.0,-0.9320143892374165,-0.16431548950994934,-0.6201892226844656,0.32522751910309133,1.4938670923934996,1.086895217551534,-0.6654597159581094,1.1563022799500973,0.3362060901847455,-0.35068406726096224,0.6730254384594375,1.4938670923934996,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
10,0.37967212888114743,-0.42623001504290287,-1.3056792178158831,-0.270543951856408,1.0617867539482457,0.0,1.7496101475022634,1.4790784935893775,-0.67846359583741,-0.6039107501479274,0.0,0.24198831185855807,-0.6788770437360288,-0.6201892226844656,-0.16461310905422863,-0.3687152874355457,0.24583399463483546,-0.6654597159581094,-1.573999194927609,0.3362060901847455,-0.46946288380336804,0.9766485492708736,-0.3687152874355457,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
11,-1.0261667362455191,-0.42623001504290287,0.8843578088720997,0.9633983665702748,-0.8916882501868245,0.0,-0.05778754527941421,0.3161828326526132,-1.0794855041128393,-0.6039107501479274,0.0,1.4159910129545328,1.250728784611769,-0.6201892226844656,2.1213098223465976,0.5625759024789769,1.6476026994959998,0.25220049272708844,1.1563022799500973,0.3362060901847455,0.5369362561316032,0.832066115551142,0.5625759024789769,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
12,0.37967212888114743,-0.42623001504290287,-0.10115885313749257,2.320734916839626,-1.8684257522543597,0.0,-0.9614863916702531,-0.6641936664451814,-1.0794855041128393,-0.8772324258614291,0.0,1.4159910129545328,0.6075268418291697,-0.6201892226844656,1.3049087754177313,2.4251582823080224,1.9279564404682326,0.25220049272708844,1.1563022799500973,0.3362060901847455,-0.46600777194364734,0.786884105013726,2.4251582823080224,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
13,0.37967212888114743,-0.42623001504290287,1.979376322216091,0.59321567104227,1.0617867539482457,0.0,-0.9614863916702531,-0.20502730004935696,-1.0794855041128393,0.4893759527060795,0.0,-0.9320143892374165,3.308975001516086,-0.6201892226844656,4.733793172518971,0.5625759024789769,2.488663922412698,1.1698607014122862,-1.573999194927609,0.3362060901847455,1.11979728159656,0.8945882490515668,0.5625759024789769,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
